SYMBOL,PREDECTION,MAX_GREEN,MAX_RED,SMA
GKWLIMITED,GREEN,2,3,443.45
GLAXO,RED,3,2,2736.66
GLENMARK,GREEN,3,2,889.17
GLOBALVECT,GREEN,3,2,123.64
GLOBOFFS,GREEN,2,3,70.48
GLOBUSSPR,RED,2,3,90.81
GMBREW,RED,2,3,479.38
GMDCLTD,GREEN,3,2,113.65
GMRINFRA,RED,1,3,12.58
GNFC,GREEN,2,3,262.54
GOACARBON,RED,1,4,111.53
GOCLCORP,GREEN,3,2,276.6
GODFRYPHLP,RED,2,3,1055.17
GODREJCP,RED,2,3,1573.24
GODREJIND,RED,1,4,436.35
GODREJPROP,RED,1,4,333.89
GOENKA,NEAUTRAL,0,1,0.46
GOKEX,RED,1,4,67.57
GOKUL,GREEN,4,1,21.05
GOKULAGRO,RED,1,3,19.35
GOLDBEES,GREEN,4,1,2667.22
GOLDENTOBC,RED,1,4,64.26
GOLDIAM,RED,3,2,77.14
GOLDINFRA,RED,1,4,27.24
GOLDSHARE,NEAUTRAL,3,1,2632.29
GOODLUCK,RED,0,5,91.65
GPIL,GREEN,5,0,82.15
GPPL,GREEN,1,4,136.21
GRANULES,GREEN,4,1,110.34
GRAPHITE,GREEN,4,1,97.51
GRASIM,RED,2,3,855.23
GRAVITA,RED,3,2,42.72
GREAVESCOT,GREEN,3,2,131.06
GREENFIRE,NEAUTRAL,0,2,1.57
GREENLAM,GREEN,4,1,622.21
GREENPLY,RED,1,4,253.26
GREENPOWER,RED,1,3,10.21
GRINDWELL,GREEN,4,1,325.87
GRUH,RED,3,2,336.22
GSCLCEMENT,RED,1,4,26
GSFC,GREEN,3,2,117.86
GSKCONS,RED,1,4,5022.19
GSPL,RED,3,2,145.5
GSS,GREEN,3,2,27.2
GTL,RED,1,4,16.87
GTLINFRA,RED,2,3,4.4
GTNIND,GREEN,3,1,17.4
GTNTEX,GREEN,4,1,14.65
GTOFFSHORE,RED,2,3,24.81
GUFICBIO,GREEN,3,2,55.63
GUJALKALI,GREEN,3,2,385.79
GUJAPOLLO,RED,2,3,140.29
GUJFLUORO,RED,2,3,477.71
GUJGASLTD,RED,1,4,535.07
GUJNRECOKE,NEAUTRAL,1,1,2.99
GUJNREDVR,NEAUTRAL,0,1,2.68
GULFOILLUB,RED,3,2,662.95
GULFPETRO,RED,2,3,87.34
GULPOLY,RED,2,2,75
GVKPIL,RED,2,3,5.83
HANUNG,RED,2,3,5.33
HARITASEAT,RED,0,5,714.16
HARRMALAYA,GREEN,2,3,81.07
HATHWAY,GREEN,2,2,37.4
HATSUN,GREEN,3,2,409.4
HAVELLS,GREEN,4,1,378.58
HBLPOWER,RED,2,3,40.14
HBSTOCK,RED,0,4,18.28
HCC,RED,1,4,42.9
HCG,GREEN,3,2,242.47
HCIL,null,0,0,0
HCL-INSYS,RED,2,3,60.28
HCLTECH,RED,2,3,841.35
HDFC,GREEN,4,2,1302.47
HDFC,GREEN,4,2,1302.47
HDFCBANK,RED,2,4,1507.91
HDFCBANK,RED,2,4,1507.91
HDFCMFGETF,RED,2,3,2710.07
HDFCNIFETF,GREEN,2,2,852.21
HDIL,RED,1,4,63.5
HECPROJECT,null,0,0,0
HEG,RED,3,2,183.88
HEIDELBERG,RED,1,3,114.19
HERCULES,GREEN,2,3,175.85
HERITGFOOD,RED,2,3,876.86
HEROMOTOCO,RED,3,2,3091.87
HESTERBIO,RED,2,3,740.32
HEXATRADEX,RED,1,4,17.34
HEXAWARE,RED,1,4,199.75
HFCL,RED,0,4,13.31
HGS,RED,2,3,528.12
HIKAL,RED,1,4,230.55
HIL,RED,2,3,649.26
HILTON,RED,2,3,19.3
HIMATSEIDE,GREEN,3,2,335.43
HINDALCO,RED,2,3,173.8
HINDCOMPOS,GREEN,1,4,1603.11
HINDCOPPER,RED,1,4,66.61
HINDDORROL,RED,0,3,11.89
HINDMOTORS,RED,2,2,8.74
HINDNATGLS,RED,1,3,104.31
HINDOILEXP,RED,3,2,68.41
HINDPETRO,RED,2,3,488.77
HINDUJAFO,RED,2,3,33.57
HINDUJAVEN,RED,0,5,500.99
HINDUNILVR,RED,2,3,844.27
HINDZINC,GREEN,3,2,286.2
HIRECT,RED,0,5,95.14
HITACHIHOM,null,0,0,0
HITECH,NEAUTRAL,1,1,110
HITECHGEAR,RED,1,4,319.19
